고유ID,식품명,1회 섭취량(g),kcal,탄수화물(g),단백질(g),지방(g),당류(g)
음식_중식면류,삼선자장면,700.0,803.9,126.5,33.6,18.1,10.2
음식_중식면류,삼선짬뽕,900.0,662.4,101.7,39.6,10.8,1.1
음식_국수류,쌀국수,600.0,320.3,55.1,15.6,4.2,4.3
음식_국수류,열무김치국수,800.0,431.0,69.6,15.0,10.2,18.6
음식_중식면류,열무냉면,800.0,525.5,97.5,20.8,5.8,27.1
음식_스파게티류,오일소스스파게티,400.0,646.7,89.4,19.6,23.4,1.4
음식_국수류,올갱이국수,1500.0,566.0,111.6,11.2,8.3,18.6
음식_중식면류,우동(일식),700.0,421.5,74.2,13.4,7.9,2.5
음식_중식면류,우동(중식),1000.0,648.5,85.4,29.5,21.0,1.1
음식_중식면류,울면,1000.0,728.9,128.2,37.5,7.4,0.5
음식_중식면류,자장면,650.0,796.5,133.6,19.8,20.3,7.8
음식_라면류,짬뽕라면,750.0,689.0,92.0,21.3,26.3,1.6
음식_라면류,치즈라면,600.0,595.0,80.0,16.8,23.0,0.9
음식_스파게티류,크림소스스파게티,400.0,837.6,73.8,21.8,50.6,9.2
음식_스파게티류,토마토소스스파게티,500.0,642.6,93.2,24.3,19.2,15.6
음식_국수류,해물칼국수,900.0,628.3,123.9,22.8,4.6,3.8
음식_스파게티류,해물크림소스스파게티,500.0,917.6,87.0,30.4,49.8,8.4
음식_스파게티류,해물토마토소스스파게티,500.0,584.4,87.2,28.0,13.7,13.5
음식_어패류무침,골뱅이무침,100.0,108.8,15.7,7.1,2.0,10.5
음식_나물.채소류무침,노각무침,150.0,84.0,14.3,2.6,1.8,7.1
음식_나물.채소류무침,단무지무침,50.0,20.0,2.8,0.5,0.8,0.7
음식_나물.채소류무침,달래나물무침,150.0,136.0,23.8,4.0,2.8,11.2
음식_나물.채소류무침,더덕무침,150.0,216.0,43.4,4.3,2.8,20.2
음식_기타,도토리묵,100.0,45.6,10.4,0.3,0.3,0.4
음식_어패류무침,밴댕이무침,400.0,600.0,46.0,29.8,33.0,27.0
음식_어패류무침,서대회무침,300.0,315.2,45.9,22.6,4.6,22.3
음식_나물.채소류무침,쑥갓나물무침,150.0,96.0,6.6,4.5,5.7,0.3
음식_나물.채소류무침,우거지나물무침,150.0,129.0,8.7,4.5,8.5,1.5
음식_어패류무침,쥐치채,20.0,55.9,10.9,2.8,0.1,4.6
음식_기타 생채.무침류,청포묵무침,250.0,149.0,22.7,2.9,5.2,1.8
음식_기타 생채.무침류,탕평채,100.0,97.5,12.3,3.6,3.8,0.4
음식_어패류무침,홍어무침,200.0,198.9,26.0,17.9,2.6,14.5
음식_김밥(초밥)류,고추장불고기 삼각김밥,100.0,165.3,34.1,3.7,1.6,0.2
음식_기타 밥류,곤드레나물밥,350.0,521.8,98.9,10.3,9.5,0.0
음식_기타 밥류,국밥,800.0,418.4,58.6,27.6,8.2,0.4
음식_김밥(초밥)류,농어초밥,250.0,396.7,78.7,17.4,1.3,13.0
음식_기타 밥류,돼지국밥,1200.0,911.4,74.7,66.4,38.6,0.0
음식_덮밥류,류산슬덮밥,550.0,575.0,73.9,27.0,19.0,0.4
음식_비빔밥류,멍게비빔밥,400.0,547.2,90.7,16.6,13.1,16.7
음식_김밥(초밥)류,멸치주먹밥,150.0,312.0,54.3,9.0,6.6,0.9
음식_기타 밥류,묵밥,950.0,642.2,128.6,14.8,7.7,15.1
음식_김밥(초밥)류,문어초밥,250.0,392.2,81.8,14.6,0.7,13.4
음식_비빔밥류,비빔밥,450.0,691.6,98.7,24.6,22.0,18.3
음식_볶음밥류,삼선볶음밥,400.0,686.1,85.8,26.2,26.5,1.6
음식_김밥(초밥)류,새우초밥,250.0,387.7,78.4,16.8,0.8,11.7
음식_김밥(초밥)류,새우튀김롤,300.0,606.5,96.3,14.5,18.2,11.1
음식_김밥(초밥)류,샐러드김밥,250.0,405.9,61.5,9.6,13.5,3.4
음식_김밥(초밥)류,생선초밥(광어),300.0,453.8,77.5,27.1,3.9,7.7
음식_김밥(초밥)류,생선초밥(모듬),300.0,462.0,76.4,25.4,6.1,8.6
음식_기타 밥류,소고기국밥,700.0,330.5,42.6,21.8,8.1,2.8
음식_김밥(초밥)류,소고기김밥,250.0,400.6,62.5,16.0,9.6,0.8
음식_덮밥류,송이덮밥,600.0,581.8,95.6,18.2,14.1,2.3
음식_김밥(초밥)류,숯불갈비 삼각김밥,100.0,161.2,32.5,4.0,1.7,0.2
음식_비빔밥류,약초비빔밥,400.0,511.8,80.2,11.9,15.9,2.9
음식_김밥(초밥)류,연어롤,300.0,510.2,74.3,18.6,15.4,8.5
음식_김밥(초밥)류,연어초밥,250.0,447.3,71.0,18.9,9.7,12.9
음식_쌀밥.잡곡밥류,오곡밥,250.0,388.8,82.3,12.0,1.3,0.2
음식_덮밥류,자장밥,500.0,741.7,120.1,15.2,22.3,5.4
음식_덮밥류,잡탕밥,750.0,777.4,104.9,44.1,20.1,0.5
음식_덮밥류,장어덮밥,400.0,716.5,97.4,30.1,23.0,5.6
음식_김밥(초밥)류,장어초밥,250.0,486.3,80.7,16.5,10.8,13.7
음식_덮밥류,참치덮밥,500.0,679.1,102.9,29.2,16.7,3.0
음식_김밥(초밥)류,참치마요네즈 삼각김밥,100.0,172.4,32.0,3.9,3.2,0.0
음식_김밥(초밥)류,충무김밥,400.0,583.9,109.2,23.4,6.0,17.2
음식_김밥(초밥)류,캘리포니아롤,300.0,487.6,89.2,12.3,9.0,8.9
음식_김밥(초밥)류,한치초밥,250.0,374.2,77.9,13.7,0.8,13.1
음식_덮밥류,해물덮밥,700.0,771.9,100.4,42.0,22.4,1.2
음식_볶음밥류,해물볶음밥,400.0,705.2,90.5,25.1,27.0,1.2
음식_덮밥류,회덮밥,500.0,683.0,103.3,30.2,16.6,10.9
음식_채소류볶음,깻잎나물볶음,200.0,206.0,11.5,7.5,14.4,0.6
음식_육류볶음,돼지고기볶음,200.0,350.7,18.2,23.0,20.7,8.2
음식_육류볶음,돼지껍데기볶음,150.0,352.0,24.5,25.8,16.7,5.5
음식_채소류볶음,두부김치,250.0,288.2,14.1,19.5,17.1,1.5
음식_채소류볶음,머위나물볶음,150.0,108.0,7.6,3.5,7.0,1.8
음식_어패류볶음,멸치풋고추볶음,20.0,52.4,3.4,4.6,2.2,1.4
음식_육류볶음,소세지볶음,200.0,471.0,31.8,18.8,29.9,8.9
음식_육류볶음,순대볶음,400.0,582.0,76.7,20.7,21.3,5.4
음식_채소류볶음,양송이버섯볶음,150.0,136.0,11.0,4.5,8.3,1.2
음식_육류볶음,오삼불고기,200.0,363.0,20.5,25.6,19.9,7.6
음식_어패류볶음,주꾸미볶음,200.0,211.4,22.8,18.3,5.2,5.1
음식_채소류볶음,표고버섯볶음,150.0,142.0,15.8,4.5,6.7,2.6
음식_어패류볶음,해물볶음,400.0,419.1,32.2,38.2,15.3,7.4
음식_기타 빵류,곰보빵,70.0,277.3,42.2,6.3,9.3,11.7
음식_앙금빵류,만주,70.0,222.5,46.8,5.1,1.6,22.5
음식_크림빵류,버터크림빵,60.0,230.0,27.7,4.9,11.0,7.2
음식_피자류,불고기피자,200.0,505.0,61.2,27.4,16.7,9.2
음식_샌드위치류,참치샌드위치,250.0,555.0,36.5,23.3,35.1,10.1
"음식_튀김빵류(도넛, 꽈배기 등)",찹쌀도우넛,70.0,207.0,40.0,3.5,3.7,12.1
"음식_튀김빵류(도넛, 꽈배기 등)",채소고로케,100.0,300.7,31.2,7.1,16.4,3.4
음식_케이크류,초콜릿케이크,100.0,420.2,43.6,5.3,25.0,23.1
음식_케이크류,치즈케이크,100.0,329.1,28.6,7.2,20.6,15.3
음식_피자류,치즈피자,200.0,553.0,71.2,31.4,15.8,6.8
음식_페이스트리류,페이스트리빵,70.0,319.6,32.5,6.0,18.4,5.7
음식_피자류,페퍼로니피자,200.0,532.0,70.3,29.4,14.8,7.5
음식_피자류,포테이토피자,250.0,628.0,71.6,28.0,25.5,8.5
음식_기타 음료 및 차류,수정과,150.0,133.0,20.3,0.6,5.5,20.7
음식_기타 음료 및 차류,식혜,150.0,130.1,24.3,2.3,2.6,17.0
음식_장아찌.절임류,간장마늘쫑장아찌,50.0,30.0,5.4,1.0,0.5,3.9
음식_장아찌.절임류,고추장마늘쫑장아찌,50.0,55.0,10.5,1.3,0.9,5.6
음식_장아찌.절임류,매실장아찌,30.0,72.9,17.4,0.5,0.1,11.4
음식_장아찌.절임류,무장아찌,30.0,23.9,5.0,0.4,0.2,2.9
음식_적류,계적,250.0,488.1,0.0,57.7,30.4,0.0
음식_어패류전,낙지꼬지,80.0,75.4,2.8,13.1,1.3,0.0
음식_적류,돔베기적,100.0,159.5,0.0,30.1,7.4,0.0
음식_적류,소고기산적,200.0,453.1,7.3,48.4,25.6,0.0
음식_적류,소라산적,80.0,120.1,6.5,17.9,2.5,0.8
음식_적류,오징어산적,80.0,101.7,3.6,17.4,2.0,0.9
음식_적류,홍어적,100.0,89.2,0.0,23.6,0.7,0.3
음식_적류,홍합산적,80.0,156.7,10.6,17.8,4.8,3.3
음식_어패류전,가자미전,150.0,230.3,6.9,25.8,11.1,0.3
음식_채소류전,고추전,150.0,274.7,17.0,12.9,17.2,2.2
음식_어패류전,굴전,100.0,195.0,14.5,10.6,10.5,1.3
음식_채소류전,깻잎전,150.0,361.1,14.5,17.7,25.8,1.1
음식_부침류,녹두빈대떡,100.0,207.9,20.9,7.9,10.3,0.1
음식_육류전,동그랑땡(육원전),150.0,309.2,12.7,19.6,20.0,1.0
음식_어패류전,동태전,150.0,268.0,10.5,22.6,15.0,0.2
음식_채소류전,두부전,150.0,254.6,7.5,20.5,15.9,0.0
음식_채소류전,미나리전,150.0,226.4,34.2,5.2,7.6,1.7
음식_채소류전,배추전,150.0,240.7,35.5,5.2,8.7,5.0
음식_채소류전,버섯전,150.0,240.7,16.2,10.5,14.9,2.7
음식_채소류전,야채전,100.0,194.0,21.6,5.4,9.5,2.4
음식_채소류전,파전,150.0,292.8,34.8,6.8,14.0,0.8
음식_육류전,햄부침,100.0,244.0,11.3,11.3,17.1,1.0
음식_채소류전,호박부침개,100.0,129.0,10.1,3.9,8.1,3.6
음식_채소류전,호박전,150.0,208.1,16.1,6.5,13.1,2.8
음식_적류,화양적,150.0,272.6,21.3,13.6,14.8,1.2
음식_어패류조림,가자미조림,300.0,298.0,21.5,37.1,7.1,10.5
음식_채소류조림,고추조림,100.0,111.0,13.4,3.3,4.9,7.1
음식_어패류조림,동태조림,250.0,276.0,17.4,40.8,4.7,10.2
음식_육류조림,돼지고기메추리알장조림,50.0,63.5,3.4,8.3,1.9,1.3
음식_어패류조림,북어조림,100.0,181.9,17.1,20.8,3.3,8.2
음식_육류조림,소고기메추리알장조림,50.0,60.7,2.9,8.1,1.8,0.7
음식_어패류조림,조기조림,300.0,384.0,12.8,41.1,18.8,4.5
음식_죽류,게살죽,800.0,564.8,107.3,17.9,7.1,0.2
음식_죽류,깨죽,800.0,515.3,79.3,13.7,15.9,3.6
음식_죽류,백합죽,700.0,455.3,84.7,16.5,5.6,0.0
음식_죽류,소고기버섯죽,800.0,578.3,109.0,18.7,7.5,0.3
음식_죽류,어죽,800.0,552.1,100.8,20.4,7.5,9.8
음식_죽류,잣죽,700.0,874.5,155.3,19.2,19.6,2.4
음식_죽류,참치죽,800.0,659.6,104.6,24.2,16.1,1.4
음식_어패류찌개.전골,고등어찌개,600.0,601.6,25.6,48.9,33.7,7.4
음식_채소류찌개.전골,김치찌개,400.0,243.0,11.9,15.1,15.0,3.0
음식_어패류찌개.전골,꽁치찌개,300.0,355.0,12.2,24.0,23.3,5.9
음식_채소류찌개.전골,두부전골,500.0,315.2,17.1,25.6,16.1,3.5
음식_채소류찌개.전골,버섯찌개,400.0,167.6,15.4,14.7,5.2,4.4
음식_육류찌개.전골,부대찌개,600.0,399.5,39.7,18.4,18.6,6.2
음식_채소류찌개.전골,새우젓두부찌개,300.0,166.0,7.2,16.2,8.1,1.7
음식_육류찌개.전골,소곱창전골,600.0,529.0,29.2,41.6,27.3,2.3
음식_육류찌개.전골,햄김치찌개,300.0,189.0,12.7,11.1,10.4,3.6
음식_채소류찌개.전골,호박찌개,300.0,95.0,12.2,5.6,2.6,5.8
음식_어패류찜,대구찜,500.0,376.4,24.7,51.7,7.9,5.7
음식_어패류찜,도미찜,100.0,125.5,0.5,23.0,3.5,0.0
음식_어패류찜,동태찜,500.0,394.3,25.8,50.9,9.7,5.7
음식_육류찜,돼지등갈비찜,450.0,961.0,57.4,72.1,49.2,24.1
음식_육류찜,돼지머리고기,200.0,650.0,3.5,42.4,52.0,0.1
음식_육류찜,매운갈비찜,300.0,517.4,23.7,61.3,19.7,10.7
음식_어패류찜,문어숙회,80.0,66.9,0.7,14.9,0.5,0.0
음식_어패류찜,민어찜,100.0,136.9,0.0,21.5,5.9,0.0
음식_어패류찜,병어찜,100.0,179.7,0.2,18.9,11.5,0.0
음식_어패류찜,북어찜,150.0,235.0,18.0,28.1,5.7,6.4
음식_어패류찜,붕어찜,1100.0,835.6,71.6,54.3,36.9,16.2
음식_육류찜,소갈비찜,250.0,494.6,13.1,49.9,27.0,4.3
음식_육류찜,순대 ,300.0,542.4,58.4,19.6,25.6,3.5
음식_어패류찜,아구찜,400.0,310.9,17.5,48.3,5.3,0.7
음식_어패류찜,아구찜,750.0,492.3,43.1,65.4,6.5,8.2
음식_육류찜,안동찜닭,1500.0,1364.2,139.5,114.2,38.8,66.8
음식_어패류찜,전어찜,100.0,278.2,0.6,17.3,23.0,0.0
음식_어패류찜,조기찜,100.0,182.1,1.6,20.1,10.6,0.0
음식_어패류찜,참꼬막,80.0,90.8,4.6,12.5,2.5,0.0
음식_육류찜,한방오리백숙,300.0,469.5,3.4,68.8,20.1,0.4
음식_어패류찜,해물찜,500.0,400.1,35.4,42.6,9.8,5.5
음식_어패류찜,홍어찜,250.0,202.7,1.2,47.1,1.0,1.2
음식_육류국.탕,갈낙탕,400.0,261.8,0.8,35.8,12.8,1.3
음식_육류국.탕,곰탕,300.0,183.2,18.1,19.4,3.7,0.5
음식_어패류국.탕,광어매운탕,600.0,419.8,9.1,58.4,16.6,1.4
음식_어패류국.탕,낙지탕,600.0,187.8,10.4,29.4,3.2,1.9
음식_어패류국.탕,대구매운탕,600.0,361.7,16.8,57.4,7.2,1.1
음식_어패류국.탕,대구지리탕,600.0,262.0,9.9,41.6,6.2,1.5
음식_어패류국.탕,메기매운탕,600.0,400.0,48.6,28.6,10.2,5.7
음식_어패류국.탕,복지리탕,600.0,232.0,10.3,41.7,2.7,1.4
음식_육류국.탕,소탕,150.0,86.4,1.9,7.7,5.4,0.0
음식_어패류국.탕,아구탕,600.0,246.1,12.8,37.8,4.9,1.8
음식_어패류국.탕,어탕,150.0,85.9,1.8,12.7,3.1,0.0
음식_어패류국.탕,연포탕,1000.0,541.6,20.2,94.9,9.0,0.2
음식_어패류국.탕,우럭매운탕,600.0,406.8,11.2,52.1,17.0,1.1
음식_육류국.탕,육탕,150.0,87.6,0.4,12.7,4.0,0.0
음식_어패류국.탕,전복탕,600.0,196.8,15.8,26.8,3.0,1.3
음식_어패류국.탕,조기매운탕,600.0,384.4,17.3,35.1,19.4,4.3
음식_어패류국.탕,짱뚱어탕,600.0,188.8,16.6,11.5,8.5,2.4
음식_어패류국.탕,추어탕,1000.0,316.7,26.8,22.7,13.2,0.0
음식_어패류국.탕,해물탕,600.0,267.8,16.6,39.8,4.7,0.8
음식_채소류튀김,고구마맛탕,200.0,491.0,94.6,3.3,11.0,38.7
음식_채소류튀김,고구마튀김,100.0,253.0,33.8,2.7,11.9,7.7
음식_채소류튀김,고추튀김,100.0,202.0,14.6,7.6,12.6,2.3
음식_육류튀김,닭튀김,300.0,903.0,48.8,65.2,49.7,1.5
음식_육류튀김,등심돈가스,200.0,623.8,38.5,33.0,37.5,3.7
음식_육류튀김,모래집튀김,150.0,468.4,29.1,28.1,26.6,1.8
음식_어패류튀김,미꾸라지튀김,100.0,387.5,28.9,10.9,25.4,0.3
음식_어패류튀김,생선까스,200.0,653.4,46.6,24.3,41.1,2.0
음식_육류튀김,안심돈가스,200.0,651.8,34.3,33.3,42.4,2.8
음식_치킨류,양념치킨,200.0,552.0,42.3,35.5,26.8,12.5
음식_어패류튀김,쥐포튀김,100.0,356.9,42.5,9.6,16.5,8.0
음식_육류튀김,치즈돈가스,250.0,755.4,41.8,42.0,46.7,3.6
음식_치킨류,치킨까스,200.0,593.0,44.0,27.9,33.9,4.2
음식_포류,대구포,100.0,140.8,2.3,32.0,0.4,0.0
음식_포류,북어포,20.0,66.5,0.3,15.4,0.4,0.2
음식_한과류,매작과,30.0,123.9,19.8,2.3,3.9,4.9
음식_한과류,산자,30.0,109.7,24.7,0.7,0.9,9.4
음식_한과류,송화다식,30.0,110.8,22.2,2.5,1.3,8.0
음식_한과류,약과,30.0,119.7,25.5,1.3,1.4,5.1
음식_한과류,유과,30.0,127.1,22.3,0.8,3.8,7.2
"음식_튀김빵류(도넛, 꽈배기 등)",못난이찹쌀꽈배기,55.0,160.2,27.1,4.0,4.0,6.1
음식_도넛류,못난이찹쌀팥도넛,70.0,195.4,37.2,4.9,3.0,14.6
음식_도넛류,못난이찹쌀유자도넛,70.0,189.7,35.6,4.6,3.2,13.6
음식_도넛류,못난이찹쌀고구마크림치즈도넛,69.0,202.4,28.4,4.7,7.8,8.1
"음식_튀김빵류(도넛, 꽈배기 등)",못난이찹쌀핫도그,95.0,280.3,33.1,8.2,12.8,7.5
"음식_튀김빵류(도넛, 꽈배기 등)",못난이찹쌀모짜렐라치즈핫도그,95.0,266.3,34.0,8.8,10.5,7.6
음식_도넛류,못난이찹쌀모짜렐라치즈도넛,70.0,193.2,27.6,7.5,5.9,5.7
음식_커피류,카페라떼 tall (hot),369.0,178.8,12.5,7.5,10.0,12.5
음식_커피류,카페라떼 tall (iced),397.0,111.2,7.5,4.5,6.0,7.5
음식_커피류,카페라떼 grande (hot),510.0,239.5,17.0,10.2,13.6,17.0
음식_커피류,카페라떼 grande (iced),454.0,172.0,12.0,7.2,9.6,12.0
음식_커피류,카페라떼 venti (hot),680.0,325.5,23.0,13.8,18.4,23.0
음식_커피류,카페라떼 venti (iced),680.0,204.0,14.0,8.4,11.2,14.0
음식_커피류,캬라멜 마끼아또 tall (hot),369.0,220.8,29.3,6.4,8.2,27.6
음식_커피류,캬라멜 마끼아또 tall (iced),397.0,200.6,28.9,5.2,6.7,26.5
음식_커피류,캬라멜 마끼아또 grande (hot),510.0,308.4,41.4,8.6,11.1,39.3
음식_커피류,캬라멜 마끼아또 grande (iced),454.0,274.6,39.9,6.8,8.8,37.2
음식_커피류,캬라멜 마끼아또 venti (hot),680.0,412.8,54.1,11.7,15.2,52.1
음식_커피류,캬라멜 마끼아또 venti (iced),680.0,331.6,49.2,7.8,10.0,46.4
음식_커피류,카푸치노 tall (hot),369.0,64.0,4.0,2.4,3.2,4.0
음식_커피류,카푸치노 tall (iced),397.0,91.0,6.0,3.6,4.8,6.0
음식_커피류,카푸치노 grande (hot),510.0,104.5,7.0,4.2,5.6,7.0
음식_커피류,카푸치노 grande (iced),454.0,151.8,10.5,6.3,8.4,10.5
음식_커피류,카푸치노 venti (hot),680.0,136.5,9.0,5.4,7.2,9.0
음식_커피류,카푸치노 venti (iced),680.0,183.8,12.5,7.5,10.0,12.5
음식_커피류,바닐라 라떼 tall (hot),369.0,229.0,27.0,7.1,9.3,27.0
음식_커피류,바닐라 라떼 tall (iced),397.0,161.6,22.0,4.1,5.3,22.0
음식_커피류,바닐라 라떼 grande (hot),510.0,315.0,38.8,9.6,12.6,38.8
음식_커피류,바닐라 라떼 grande (iced),454.0,247.4,33.8,6.6,8.6,33.8
음식_커피류,바닐라 라떼 venti (hot),680.0,426.1,52.1,13.0,17.0,52.1
음식_커피류,바닐라 라떼 venti (iced),680.0,304.6,43.1,7.6,9.8,43.1
음식_커피류,헤이즐넛 라떼 tall (hot),369.0,231.0,27.7,7.1,9.3,27.7
음식_커피류,헤이즐넛 라떼 tall (iced),397.0,1463.5,22.7,4.1,5.3,22.7
음식_커피류,헤이즐넛 라떼 grande (hot),510.0,318.0,39.8,9.6,12.6,39.8
음식_커피류,헤이즐넛 라떼 grande (iced),454.0,250.4,34.8,6.6,8.6,34.8
음식_커피류,헤이즐넛 라떼 venti (hot),680.0,430.1,53.4,13.0,17.0,53.4
음식_커피류,헤이즐넛 라떼 venti (iced),680.0,308.6,44.4,7.6,9.8,44.4
음식_커피류,카페모카 tall (hot),369.0,420.4,44.7,11.5,21.2,35.9
음식_커피류,카페모카 tall (iced),397.0,323.5,369.6,6.5,16.1,27.7
음식_커피류,카페모카 grande (hot),510.0,474.9,53.6,12.1,22.4,42.2
음식_커피류,카페모카 grande (iced),454.0,461.5,49.5,9.2,23.6,37.8
음식_커피류,카페모카 venti (hot),680.0,518.6,62.4,12.6,22.6,48.3
음식_커피류,카페모카 venti (iced),680.0,486.7,51.0,10.1,24.8,39.3
음식_커피류,시나몬 카페모카 tall (hot),369.0,370.4,39.2,9.2,19.0,34.5
음식_커피류,시나몬 카페모카 tall (iced),397.0,320.8,34.6,6.4,16.6,29.8
음식_커피류,시나몬 카페모카 grande (hot),510.0,459.9,51.2,11.1,22.1,45.0
음식_커피류,시나몬 카페모카 grande (iced),454.0,460.0,48.1,8.9,24.1,41.6
