고유ID,식품명,1회 섭취량(g),kcal,탄수화물(g),단백질(g),지방(g),당류(g)
가공식품_빵류,싱그러운아침우유식빵,60.0,162.0,30.0,6.0,2.0,2.0
가공식품_빵류,대보름,90.0,378.0,49.0,5.0,18.0,33.0
가공식품_빵류,순수秀담백 식빵,100.0,255.0,0.0,8.0,0.0,5.0
가공식품_빵류,아침미소!토스트,54.0,145.0,27.0,5.0,1.9,3.0
가공식품_빵류,삼립호빵 토종효모 정통단팥,95.0,250.0,52.0,6.0,2.0,19.0
가공식품_빵류,디마떼오 콤비네이션 피자,140.0,310.0,47.0,15.0,7.0,6.0
가공식품_빵류,삼립호빵 토종효모 통단팥,90.0,245.0,48.0,6.0,3.2,16.0
가공식품_빵류,디마떼오 고르곤졸라 피자,110.0,275.0,44.0,10.0,7.0,5.0
가공식품_빵류,디마떼오 불고기 피자,130.0,285.0,44.0,13.0,6.0,5.0
가공식품_빵류,한아름땅콩소보루,75.0,279.0,47.0,7.0,7.0,12.0
가공식품_빵류,디마떼오 고구마 피자,115.0,290.0,50.0,10.0,6.0,9.0
가공식품_빵류,보름달,85.0,309.0,44.0,4.0,13.0,24.0
가공식품_빵류,허니본델리슈,100.0,280.0,0.0,7.0,0.0,3.0
가공식품_빵류,열두가지곡물식빵,100.0,290.0,46.0,10.0,7.0,6.0
가공식품_빵류,꿀호떡 땅콩가득,138.0,364.0,67.0,6.0,8.0,31.0
가공식품_빵류,수제초코파이,100.0,497.0,57.0,5.2,28.0,37.0
가공식품_빵류,로만밀슈퍼플러스 식빵,100.0,285.0,0.0,9.0,0.0,8.0
가공식품_빵류,통단팥이가득단팥빵,85.0,235.0,44.0,4.0,5.0,18.0
가공식품_빵류,골든버터파이,13.0,80.0,0.0,1.0,0.0,2.0
가공식품_빵류,허니브레드용 냉동 6쪽식빵,166.0,437.0,79.0,10.0,9.0,11.0
가공식품_빵류,우리밀수제초코파이,70.0,249.8,27.0,3.1,14.4,18.6
가공식품_빵류,애플맛케익,90.0,359.0,55.0,5.0,13.0,31.0
가공식품_빵류,완듀완듀팡,110.0,360.0,57.0,6.0,12.0,20.0
가공식품_빵류,경주빵,10.0,260.0,55.0,7.0,0.1,22.0
가공식품_빵류,3입대보름,60.0,252.0,32.4,3.5,12.1,22.1
가공식품_빵류,삼립호빵 토종효모 단팥,90.0,242.0,45.0,11.0,2.0,19.0
가공식품_빵류,더블 프로마쥬 초코,100.0,328.0,38.3,5.6,21.4,17.9
가공식품_빵류,커스터드 크림빵,72.0,187.0,27.0,4.0,7.0,4.0
가공식품_빵류,쇼콜라생크림케이크,190.0,545.0,61.0,7.0,30.0,40.0
가공식품_빵류,우유식빵,140.0,355.0,61.0,11.0,7.2,6.0
가공식품_빵류,본젤라또 당근컵케이크,95.0,390.0,37.0,4.0,25.0,22.0
가공식품_빵류,촉촉한치즈케익,80.0,275.0,40.0,4.0,11.0,14.0
가공식품_빵류,옥수수맛케익,90.0,361.0,52.0,5.0,15.0,32.0
가공식품_빵류,옛날밤만쥬,25.0,77.0,16.0,1.0,1.0,9.0
가공식품_빵류,롱 파운드케익,150.0,608.0,73.0,7.0,32.0,42.0
가공식품_빵류,촉촉한키즈케익(우유),80.0,280.0,39.0,4.0,12.0,22.0
가공식품_빵류,빅패스츄리,100.0,400.0,53.0,7.0,18.0,12.0
가공식품_빵류,팥호빵,90.0,265.0,54.0,7.0,2.0,19.0
가공식품_빵류,미니찰식빵,100.0,285.0,53.0,8.0,4.4,6.0
가공식품_빵류,카스테라,80.0,255.0,0.0,6.0,0.0,21.0
가공식품_빵류,아침미소!바삭토스트,58.0,160.0,30.0,5.0,2.2,1.0
가공식품_빵류,오뚜기쉬림프피자,150.0,410.0,44.0,16.0,19.0,4.0
가공식품_빵류,소프트 밀크파운드,95.0,400.0,45.0,5.0,22.0,26.0
가공식품_빵류,치즈후레쉬팡,98.0,314.0,51.0,5.0,10.0,19.0
가공식품_빵류,빕스 고르곤졸라 피자,60.0,140.0,22.0,3.0,4.5,4.0
가공식품_빵류,고메 치즈크리스피 핫도그,85.0,260.0,26.0,8.0,14.0,9.0
가공식품_빵류,땅콩호떡,50.0,145.0,26.0,3.0,3.2,11.0
가공식품_빵류,로만밀클래식 식빵,100.0,285.0,0.0,9.0,0.0,9.0
가공식품_빵류,쿠키앤생크림케이크,190.0,575.0,69.0,7.0,30.0,41.0
가공식품_빵류,딸기맛카스테라,90.0,365.0,55.0,5.0,14.0,33.0
가공식품_빵류,맛있는 바로그대로 토스트,72.0,200.0,34.0,7.0,4.0,6.0
가공식품_빵류,Mr` 쉐프의 치즈케익,105.0,387.0,57.0,6.0,15.0,27.0
가공식품_빵류,스위트 골든볼,80.0,284.0,57.0,6.0,3.6,27.0
가공식품_빵류,올바른핫도그,75.0,210.0,26.0,5.0,10.0,7.0
가공식품_빵류,롤케이크,100.0,360.0,44.0,6.0,18.0,30.0
가공식품_빵류,고메고르곤졸라피자,285.0,895.0,82.0,38.0,46.0,16.0
가공식품_빵류,메론크림빵,90.0,359.0,47.0,8.0,16.0,18.0
가공식품_빵류,왕만쥬,60.0,205.0,40.0,4.0,3.2,21.0
가공식품_빵류,또띠아,85.0,260.0,41.0,6.0,8.0,3.0
가공식품_빵류,블루베리크림롤,100.0,385.0,45.0,6.0,20.0,28.0
가공식품_빵류,오뚜기 호두&아몬드 씬피자,158.0,495.0,57.0,20.0,21.0,5.0
가공식품_빵류,정통꿀호떡,57.0,154.0,30.0,3.0,2.4,13.0
가공식품_빵류,삼립호빵 토종효모 옛날단팥,95.0,240.0,48.0,6.0,2.7,21.0
가공식품_빵류,고메디아볼라피자,300.0,935.0,86.0,44.0,46.0,17.0
가공식품_빵류,부드러운 통식빵,100.0,262.0,46.0,6.0,6.0,7.0
가공식품_빵류,바로굽는 토스트식빵,100.0,310.0,47.0,8.0,10.0,5.0
가공식품_빵류,오뚜기 치즈 사각피자,88.0,250.0,26.0,12.0,11.0,3.0
가공식품_빵류,마시따,150.0,365.0,40.0,12.0,18.0,12.0
가공식품_빵류,대신 내가맛스타,120.0,380.0,55.0,9.0,14.0,7.0
가공식품_빵류,미니소보로,75.0,223.0,37.0,5.0,6.3,13.0
가공식품_빵류,촉촉한카스테라,95.0,284.0,56.0,5.0,4.4,32.0
가공식품_빵류,오뚜기페페로니피자,150.0,415.0,48.0,18.0,17.0,3.0
가공식품_빵류,삼립호빵 토종효모 단팥&야채(단팥),90.0,242.0,45.0,11.0,2.0,19.0
가공식품_빵류,삼립호빵 토종효모 단팥&야채(야채),90.0,213.0,33.0,9.0,5.0,7.0
가공식품_빵류,호밀빵,70.0,206.9,37.0,7.8,3.1,3.1
가공식품_빵류,주종발효 카스타드단팥빵,105.0,330.0,57.0,5.0,9.0,11.0
가공식품_빵류,하이얀빵가루,100.0,355.0,72.0,12.0,2.0,3.0
가공식품_빵류,바바 생크림빵,72.0,187.0,27.0,4.0,7.0,4.0
가공식품_빵류,건포도토종효모빵용 빵,100.0,275.0,51.0,9.0,4.0,16.0
가공식품_빵류,떠먹는 컵피자 매운치킨,150.0,365.0,42.0,18.0,14.0,9.0
가공식품_빵류,아침미소!담백미소프트,63.0,170.0,31.0,6.0,2.4,2.0
가공식품_빵류,더블프로마쥬 인절미,100.0,344.0,30.1,6.2,22.0,18.8
가공식품_빵류,깨핫도그롤,53.0,139.0,24.0,4.0,3.0,4.0
가공식품_빵류,딸기잼롤,100.0,315.0,53.0,6.0,9.0,28.0
가공식품_빵류,삼립호빵 토종효모 생생야채,90.0,188.0,32.0,7.0,3.6,5.0
가공식품_빵류,초코롤케익,85.0,307.0,47.0,5.0,11.0,31.0
가공식품_빵류,피넛아몬드소프트,110.0,365.0,56.0,5.0,8.0,31.0
가공식품_빵류,샌드위치 플러스식빵,100.0,245.0,47.0,6.0,3.7,5.0
가공식품_빵류,스위트딸기케익,85.0,272.0,42.0,4.0,9.8,25.0
가공식품_빵류,고소밀크롤링롤링,60.0,230.0,27.0,4.0,12.0,8.0
가공식품_빵류,삼립호빵 토종효모 송송야채,90.0,213.0,33.0,9.0,5.0,7.0
가공식품_빵류,빅 밀크샌드,95.0,315.0,40.0,5.0,15.0,9.0
가공식품_빵류,치즈크림케익,100.0,295.0,27.0,6.0,18.0,18.0
가공식품_빵류,그릭슈바인 프랑크푸르터 핫도그,85.0,250.0,28.0,7.0,12.0,7.0
가공식품_빵류,콤비네이션 피자,150.0,370.0,49.0,14.0,13.0,4.0
가공식품_빵류,대신 치즈브래드,100.0,355.0,35.0,7.0,18.0,3.8
가공식품_빵류,엄마의 시크릿 레시피 미니생크림파운드,36.0,157.0,17.0,2.0,9.0,10.0
가공식품_빵류,simplus 뻥이요,100.0,460.0,83.0,5.0,12.0,23.0
가공식품_빵류,달콤한정통만쥬,100.0,365.0,69.0,8.0,6.0,35.0
가공식품_빵류,통밀 또띠아,25.0,65.0,12.0,2.0,1.5,0.0
가공식품_빵류,미니연유크림샌드,100.0,290.0,45.0,7.0,9.0,9.0
가공식품_빵류,폭신폭신 우유식빵,37.0,85.0,14.0,3.0,1.9,7.0
가공식품_빵류,토스트를 위해 태어난 식빵,38.0,109.0,18.0,2.0,3.2,2.0
가공식품_빵류,삼립호빵 토종효모 알찬피자,90.0,205.0,34.0,8.0,4.1,6.0
가공식품_빵류,밀품은또띠아,100.0,320.0,51.0,8.0,9.0,3.0
가공식품_빵류,크림단팥빵,80.0,304.0,38.0,5.0,15.0,19.0
가공식품_빵류,오뚜기포테이토피자,150.0,395.0,47.0,14.0,17.0,4.0
가공식품_빵류,아침미소!우유식빵,30.0,79.0,14.0,2.0,1.7,2.0
가공식품_빵류,왕단팥빵,190.0,300.0,58.0,8.0,4.0,9.0
가공식품_빵류,스위트 꽈배기도넛,90.0,362.0,45.0,5.0,18.0,17.0
가공식품_빵류,(코)오리진단팥빵,48.0,145.0,28.0,4.0,2.0,3.0
가공식품_빵류,나눠먹는 땅콩크림빵,69.0,244.0,37.0,6.0,8.0,8.0
가공식품_빵류,밀크후레쉬팡,140.0,454.0,74.0,8.0,14.0,26.0
가공식품_빵류,빅 딸기샌드,95.0,315.0,40.0,5.0,15.0,10.0
가공식품_빵류,자이언트식빵,45.0,118.0,21.0,3.0,2.4,3.0
가공식품_빵류,폭신폭신 에그볼,110.0,392.0,64.0,7.0,12.0,37.0
가공식품_빵류,바나나맛 카스테라,90.0,365.0,55.0,5.0,14.0,33.0
가공식품_빵류,밤알송송고구마팡,90.0,304.0,52.0,6.0,8.0,19.0
가공식품_빵류,맛있는모닝 우유식빵,54.0,140.0,27.0,4.0,1.9,3.0
가공식품_빵류,실키파운드케익,73.0,314.0,35.0,3.0,18.0,20.0
가공식품_빵류,달콤한 단팥패스츄리,100.0,350.0,47.0,5.0,16.0,16.0
가공식품_빵류,YOU US 뻥이요,120.0,550.0,98.0,6.0,15.0,31.0
가공식품_빵류,쫄깃한잉글리쉬머핀,60.0,128.0,24.0,3.0,0.7,1.0
가공식품_빵류,카스타드 슈크림빵,75.0,227.0,38.0,3.0,7.0,17.0
가공식품_빵류,정통와플미니,30.0,113.0,15.0,2.0,5.0,6.0
가공식품_빵류,팥이빵빵단팥빵,86.0,330.0,60.0,9.0,6.0,26.0
가공식품_빵류,웰핫도그스위트,70.0,170.0,16.0,7.0,8.0,5.0
가공식품_빵류,탕종식빵,400.0,1040.0,179.0,34.0,21.0,27.0
가공식품_빵류,프리미엄스위트패스츄리,105.0,385.0,51.0,6.0,17.0,21.0
가공식품_빵류,명인명작단팥도라야끼,60.0,172.0,38.0,3.0,0.9,23.0
가공식품_빵류,삼립호빵 토종효모 듬뿍피자,90.0,203.0,28.0,12.0,4.8,6.0
가공식품_빵류,매일아침토스트,100.0,272.0,49.0,10.0,4.0,5.0
가공식품_빵류,롱패스츄리,110.0,395.0,50.0,6.0,19.0,18.0
가공식품_빵류,오뚜기 고르곤졸라 사각피자,88.0,250.0,26.0,11.0,10.0,2.0
가공식품_빵류,신라마드레느,15.0,55.0,6.0,1.0,3.2,4.0
가공식품_빵류,통밀식빵,100.0,300.0,48.0,8.0,8.0,8.0
가공식품_빵류,찰보리발효식빵,42.0,114.0,19.0,3.0,2.9,2.0
가공식품_빵류,망고맛케익,90.0,335.0,56.0,5.0,9.1,30.0
가공식품_빵류,허니브레드,150.0,412.0,73.0,12.0,8.0,8.0
가공식품_빵류,미니땅콩크림샌드,100.0,305.0,44.0,7.0,11.0,8.0
가공식품_빵류,촉촉한 허니시몬케익,36.0,106.0,21.0,2.0,1.6,13.0
가공식품_빵류,아침愛 샌드위치식빵,38.0,230.0,15.0,3.0,1.9,6.0
가공식품_빵류,더촉촉한치즈케익,70.0,231.0,38.0,4.0,7.0,20.0
가공식품_준초콜릿,퐁듀타임,100.0,613.0,49.0,3.0,45.0,41.0
가공식품_준초콜릿,제주종합초콜릿,90.0,520.0,45.0,6.0,35.0,39.0
가공식품_준초콜릿,투유 밀크,15.0,81.0,8.0,1.0,5.0,7.0
가공식품_준초콜릿,제주감귤초콜릿,48.0,275.0,24.0,3.0,18.0,21.0
가공식품_준초콜릿,짜먹고그려먹고,25.0,153.2,11.8,1.2,11.2,8.7
가공식품_준초콜릿,행복한쇼콜라띠에 밀크초코,100.0,565.0,51.0,4.0,38.0,48.0
가공식품_준초콜릿,한라봉초콜릿,7.2,39.0,4.0,0.0,3.0,3.0
가공식품_준초콜릿,디샤 가나슈,38.0,222.0,21.0,3.0,14.0,19.0
가공식품_준초콜릿,올레길맛있는초콜릿,7.2,39.0,4.0,0.0,3.0,3.0
가공식품_준초콜릿,제주백년초초콜릿,100.0,575.0,50.0,7.0,38.0,44.0
가공식품_준초콜릿,제주녹차초콜릿,100.0,577.0,50.0,7.0,38.0,44.0
가공식품_준초콜릿,행복한쇼콜라띠에 다크초코,100.0,555.0,49.0,2.0,39.0,45.0
가공식품_준초콜릿,과일모음초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,착한초콜렛종합,128.0,702.0,65.0,7.0,46.0,63.0
가공식품_준초콜릿,레장드초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,제주감귤초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,밤초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,제주하르방한라봉초코릿,30.0,160.0,20.0,1.0,9.0,17.0
가공식품_준초콜릿,제주하르방감귤초코릿,30.0,163.0,20.0,0.5,9.0,19.0
가공식품_준초콜릿,디샤 화이트,38.0,180.0,18.0,2.0,11.0,15.0
가공식품_준초콜릿,초코스노우,27.0,155.0,15.0,1.0,10.0,12.0
가공식품_준초콜릿,제주의미감귤초콜릿,100.0,575.0,50.0,7.0,38.0,44.0
가공식품_준초콜릿,블랙&화이트막걸리초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,한라봉초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,다크쇼콜라,4.5,27.0,2.5,0.3,1.7,2.0
가공식품_준초콜릿,한라봉쇼콜라,4.5,27.0,2.1,0.1,1.9,2.0
가공식품_준초콜릿,감귤쇼콜라,4.5,27.0,2.4,0.1,1.9,2.0
가공식품_준초콜릿,백년초쇼콜라,4.5,27.0,2.4,0.1,1.9,2.0
가공식품_준초콜릿,녹차쇼콜라,4.5,27.0,2.4,0.1,1.9,2.0
가공식품_준초콜릿,고추장초콜릿,100.0,533.0,63.0,5.0,29.0,58.0
가공식품_준초콜릿,제주 보리 크런치,30.0,175.0,17.0,1.0,11.0,11.0
가공식품_준초콜릿,풋귤 다크,100.0,570.0,49.0,7.0,38.0,43.0
가공식품_준초콜릿,제주하르방백년초초코릿,30.0,160.0,20.0,1.0,8.0,17.0
가공식품_준초콜릿,제주하르방복분자초코릿,30.0,160.0,20.0,1.0,8.0,18.0
가공식품_준초콜릿,제주하르방녹차초코릿,30.0,165.0,19.0,1.0,9.0,16.0
가공식품_준초콜릿,플레이크 다크,100.0,532.0,61.0,6.0,29.0,37.0
가공식품_준초콜릿,천혜향 다크,100.0,570.0,49.0,7.0,38.0,43.0
가공식품_준초콜릿,한라봉쇼콜라,54.0,311.0,29.0,0.0,22.0,25.0
가공식품_준초콜릿,백년초쇼콜라,54.0,316.0,30.0,0.0,22.0,25.0
가공식품_준초콜릿,녹차쇼콜라,54.0,316.0,30.0,0.0,22.0,25.0
가공식품_가공두유,삼육두유검은콩칼슘,190.0,140.0,0.0,0.0,6.0,10.0
가공식품_가공두유,베지밀검은콩두유고칼슘,190.0,130.0,0.0,6.0,5.0,10.0
가공식품_가공두유,달콤한베지밀비,100.0,63.0,0.0,3.0,3.1,5.0
가공식품_가공두유,삼육두유검은콩호두와아몬드,140.0,150.0,0.0,0.0,6.0,10.0
가공식품_가공두유,담백한베지밀에이,190.0,110.0,8.0,6.0,6.0,6.0
가공식품_가공두유,삼육두유A,190.0,125.0,0.0,0.0,7.0,6.0
가공식품_가공두유,베지밀아몬드와호두두유,190.0,120.0,15.0,0.0,5.0,8.5
가공식품_가공두유,이롬황성주국산콩두유검은콩,190.0,100.0,0.0,0.0,4.9,7.0
가공식품_가공두유,삼육두유 발아현미 19곡,190.0,120.0,17.0,0.0,4.0,10.0
가공식품_가공두유,베지밀검은콩&검은참깨두유,190.0,125.0,0.0,0.0,6.0,10.0
가공식품_가공두유,삼육두유 고소한 검은참깨,190.0,120.0,0.0,0.0,5.0,10.0
가공식품_가공두유,삼육두유 검은콩참깨,190.0,145.0,0.0,0.0,7.0,11.0
가공식품_가공두유,베지밀검은참깨고칼슘두유,190.0,130.0,0.0,6.0,6.0,8.0
가공식품_가공두유,빙그레 맛있는 콩두유,200.0,120.0,10.0,6.0,6.0,7.0
가공식품_가공두유,삼육검은콩두유,190.0,140.0,0.0,0.0,6.0,10.0
가공식품_가공두유,삼육두유 검은참깨 고칼슘,190.0,140.0,0.0,6.0,6.0,9.0
가공식품_가공두유,삼육두유,190.0,125.0,0.0,0.0,7.0,6.0
가공식품_가공두유,맛있는 두유 T 담백한맛,190.0,120.0,0.0,0.0,6.5,6.5
가공식품_가공두유,고소한연세두유,200.0,115.0,0.0,0.0,6.4,7.0
가공식품_가공두유,맛있는 두유 T 검은콩깨,190.0,135.0,0.0,0.0,6.3,8.5
가공식품_가공두유,이롬 황성주 발아약콩 두유,190.0,140.0,0.0,0.0,6.0,5.0
가공식품_가공두유,달콤한삼육두유B,190.0,125.0,0.0,0.0,6.0,10.0
가공식품_가공두유,뼈를생각한 고칼슘두유 검은콩,190.0,100.0,0.0,0.0,5.1,7.0
가공식품_가공두유,맛있는 두유 T 달콤한맛,190.0,130.0,0.0,0.0,6.5,8.0
가공식품_가공두유,검은깨콩두유,190.0,130.0,0.0,0.0,6.0,10.0
가공식품_가공두유,이롬황성주국산콩두유호두와아몬드,190.0,120.0,0.0,0.0,6.0,10.0
가공식품_가공두유,뼈를생각한 고칼슘두유 호두&아몬드,190.0,100.0,0.0,0.0,5.1,7.0
가공식품_가공두유,달콤한베지밀비검은콩두유,190.0,130.0,0.0,6.0,6.5,10.0
가공식품_가공두유,삼육고칼슘두유,190.0,120.0,0.0,6.0,6.0,10.0
가공식품_가공두유,오리지널 약콩두유,190.0,75.0,0.0,0.0,3.5,1.0
가공식품_가공두유,고소한아몬드&잣두유,200.0,130.0,0.0,0.0,5.0,7.0
가공식품_가공두유,이롬황성주국산콩두유검은콩과17곡,190.0,115.0,0.0,0.0,4.2,10.0
가공식품_가공두유,베지밀17곡한끼두유,190.0,115.0,0.0,5.0,3.5,11.0
가공식품_가공두유,삼육두유 국산검은콩,190.0,140.0,0.0,0.0,6.0,9.0
가공식품_가공두유,베지밀검은참깨두유,190.0,125.0,0.0,0.0,6.0,10.0
가공식품_가공두유,베지밀5060시니어두유,190.0,120.0,0.0,0.0,6.0,7.5
가공식품_가공두유,검은콩 검은깨 칼슘두유,190.0,115.0,0.0,0.0,6.0,10.0
가공식품_가공두유,후디스검은콩검은깨흑미고칼슘두유,190.0,140.0,0.0,0.0,7.0,7.0
가공식품_가공두유,남양 진콩두유,190.0,130.0,0.0,0.0,7.0,6.0
가공식품_가공두유,담백한베지밀에이검은콩두유,190.0,115.0,0.0,6.0,6.5,6.0
가공식품_가공두유,베지밀검은콩과16곡두유,190.0,115.0,0.0,0.0,4.0,10.0
가공식품_가공두유,베지밀과일이꼭꼭씹히는애플망고두유,190.0,115.0,0.0,0.0,1.0,24.0
가공식품_가공두유,베지밀국산콩두유검은콩,190.0,125.0,0.0,0.0,6.0,10.0
가공식품_가공두유,베지밀뼈에좋은칼슘두유검은콩,190.0,125.0,0.0,0.0,5.0,11.0
가공식품_가공두유,순수두유,190.0,110.0,0.0,0.0,6.0,8.0
가공식품_가공두유,삼육두유검은참깨,190.0,120.0,0.0,0.0,6.0,8.0
가공식품_가공두유,베지밀비달콤한고칼슘두유,190.0,130.0,0.0,0.0,7.0,10.0
가공식품_가공두유,배로 맛있는! 약콩두유,190.0,80.0,0.0,0.0,3.5,3.0
가공식품_가공두유,우리콩두유 검은콩,190.0,95.0,0.0,0.0,4.2,6.0
가공식품_가공두유,베지밀검은콩두유,190.0,120.0,0.0,0.0,6.0,10.0
가공식품_가공두유,아침에두유,200.0,120.0,0.0,0.0,4.6,8.0
가공식품_가공두유,연세대학교 검은참깨두유,200.0,130.0,0.0,0.0,6.0,3.0
가공식품_가공두유,Smart 두유 365,200.0,115.0,0.0,0.0,6.4,7.0
가공식품_가공두유,이롬 황성주 국산콩 두유 우리땅 17곡,190.0,110.0,0.0,0.0,5.0,8.0
가공식품_가공두유,고소한 삼육두유A,190.0,125.0,0.0,0.0,7.0,8.0
가공식품_가공두유,삼육두유 검은콩호두와 아몬드,140.0,150.0,0.0,0.0,6.0,10.0
가공식품_가공두유,삼육두유 콩국,190.0,80.0,0.0,0.0,3.8,4.0
가공식품_가공두유,이롬황성주국산콩두유검은콩깨쌀,190.0,100.0,0.0,0.0,4.1,7.0
가공식품_가공두유,베지밀에이담백한고칼슘두유,190.0,120.0,0.0,0.0,7.0,6.0
가공식품_가공두유,연세 고칼슘 두유,200.0,130.0,0.0,0.0,6.0,6.0
가공식품_가공두유,베지밀고칼슘두유,190.0,125.0,11.0,6.0,6.5,8.0
가공식품_가공두유,삼육두유 검은콩참깨 병,200.0,155.0,0.0,0.0,7.0,12.0
가공식품_가공두유,연세 검은콩두유,200.0,130.0,0.0,0.0,6.0,3.0
가공식품_가공두유,푸르밀 두유,200.0,120.0,0.0,6.0,6.0,7.0
가공식품_가공두유,고소한 두유,190.0,120.0,0.0,0.0,6.0,9.0
가공식품_가공두유,맛있는 두유 T 검은콩+17곡,190.0,120.0,0.0,0.0,5.0,9.0
가공식품_가공두유,베지밀국산콩두유검은콩검은깨검은쌀,190.0,100.0,0.0,0.0,3.0,10.0
가공식품_가공두유,참두유 검은콩,200.0,119.0,0.0,0.0,0.0,9.0
가공식품_가공두유,콩을통째로갈아만든전두유검은콩,200.0,120.0,0.0,0.0,5.0,11.0
가공식품_가공두유,검은콩 두유,190.0,115.0,0.0,0.0,4.5,9.0
가공식품_가공두유,원두밀 플러스,190.0,120.0,0.0,0.0,7.0,8.0
가공식품_가공두유,베지밀뼈에좋은칼슘두유땅콩아몬드호두잣,190.0,115.0,0.0,0.0,4.0,8.0
가공식품_가공두유,이롬 황성주 국산콩 담백한 두유 검은콩과 검은참깨,190.0,100.0,0.0,0.0,3.5,5.0
가공식품_가공두유,완全(전)두유 국산콩 검은콩 고칼슘,190.0,80.0,0.0,0.0,2.3,7.0
가공식품_가공두유,우리콩두유 잣,190.0,95.0,0.0,0.0,4.4,6.0
가공식품_가공두유,칼슘이가득한검은깨검은콩두유,190.0,145.0,0.0,0.0,7.0,13.0
가공식품_가공두유,베지밀뼈에좋은칼슘두유검은콩검은깨검은쌀,190.0,130.0,0.0,0.0,5.0,14.0
가공식품_가공두유,베지밀진하고고소한두유,190.0,140.0,0.0,0.0,8.0,5.0
가공식품_가공두유,순하고 부드러운 검은콩두유,200.0,130.0,0.0,0.0,6.0,10.0
가공식품_가공두유,삼육두유검은콩&칼슘,190.0,140.0,0.0,0.0,6.0,10.0
가공식품_가공두유,완全(전)두유 국산콩 검은콩 21곡,190.0,95.0,0.0,0.0,2.8,6.0
가공식품_가공두유,맛있는 두유 T 검은콩깨 1/2칼로리,190.0,59.0,0.0,0.0,2.7,2.0
가공식품_가공두유,콩을통째로갈아만든전두유검은콩검은참깨,190.0,115.0,0.0,0.0,5.0,10.0
가공식품_가공두유,베지밀에이스두유,180.0,106.0,0.0,0.0,6.0,4.0
가공식품_가공두유,"고구마, 호박에게바나나",190.0,100.0,18.0,0.0,2.0,12.0
가공식품_가공두유,베지밀하루건강칼로리컷두유,190.0,75.0,0.0,0.0,2.3,6.2
가공식품_가공두유,이롬황성주국산콩두유검은콩과검은참깨,190.0,105.0,0.0,0.0,4.3,6.0
가공식품_가공두유,베지밀우리16곡두유,190.0,120.0,13.0,0.0,5.0,10.0
가공식품_가공두유,이롬 황성주 국산콩 닥터 C 무가당 두유,190.0,65.0,0.0,0.0,3.0,0.0
가공식품_가공두유,SoyU(쏘유)검은콩,190.0,120.0,0.0,0.0,0.0,10.0
가공식품_가공두유,베지밀입안가득바나나두유팩,200.0,140.0,0.0,0.0,3.0,20.0
가공식품_가공두유,서리태 97,190.0,105.0,0.0,0.0,3.5,4.0
가공식품_가공두유,완全(전)두유 국산콩 검은콩,190.0,90.0,0.0,0.0,3.3,7.0
가공식품_가공두유,완全(전)두유 국산콩 호두와 아몬드,190.0,82.0,0.0,0.0,2.9,7.0
가공식품_가공두유,고칼슘 쌀눈두유,190.0,86.0,0.0,0.0,4.0,5.0
가공식품_가공두유,콩을통째로갈아만든전두유7곡선식,200.0,120.0,0.0,0.0,5.0,9.0
가공식품_가공두유,건국 무첨가 두유,190.0,80.0,0.0,0.0,3.7,1.0
가공식품_가공두유,이롬 황성주 국산콩 닥터 B 두유,190.0,105.0,0.0,0.0,4.5,10.0
가공식품_가공두유,쌀눈으로 더 똑똑한! 약콩두유,190.0,95.0,0.0,0.0,3.6,4.0
가공식품_가공두유,황성주 국산콩 닥터 햄프씨드 두유,190.0,85.0,0.0,0.0,3.9,7.0
가공식품_가공두유,베지밀말차두유,190.0,125.0,0.0,0.0,5.0,12.0
가공식품_가공두유,전두유 블랙7,190.0,90.0,0.0,0.0,3.0,5.0
가공식품_가공두유,순하고 부드러운 아몬드두유,200.0,130.0,0.0,0.0,6.0,10.0
가공식품_가공두유,이롬 황성주 국산콩 두유 프리미엄,190.0,95.0,0.0,0.0,4.5,7.0
가공식품_가공두유,삼육두유 국산콩,190.0,105.0,0.0,0.0,3.0,7.0
가공식품_가공두유,전두유 약콩,190.0,87.0,0.0,0.0,3.1,7.0
가공식품_탄산음료,코카콜라,100.0,44.0,11.0,0.0,0.0,11.0
가공식품_탄산음료,칠성사이다,200.0,65.0,16.0,0.0,0.0,12.0
가공식품_탄산음료,펩시콜라,355.0,160.0,40.0,0.0,0.0,40.0
가공식품_탄산음료,스프라이트,100.0,44.0,11.0,0.0,0.0,11.0
가공식품_탄산음료,밀키스,340.0,170.0,42.0,0.0,1.0,42.0
가공식품_탄산음료,맥콜,250.0,125.0,31.0,0.0,0.0,31.0
가공식품_탄산음료,웰치 그레이프맛,355.0,184.0,46.0,0.0,0.0,42.0
가공식품_탄산음료,환타 오렌지향,355.0,192.0,48.0,0.0,0.0,48.0
가공식품_탄산음료,코카콜라 제로,190.0,0.0,0.0,0.0,0.0,0.0
가공식품_탄산음료,환타 파인애플향,355.0,192.0,48.0,0.0,0.0,43.0
가공식품_탄산음료,천연(泉淵) 사이다,355.0,125.0,31.0,0.0,0.0,31.0
